iter	RMSE
0	22.16691217
1	22.0399439
2	21.93014144
3	21.83656262
4	21.74663702
5	21.66587952
6	21.56912236
7	21.50456164
8	21.437452
9	21.38266623
10	21.32499199
11	21.27146919
12	21.22531409
13	21.17633264
14	21.1344157
15	21.09333451
16	21.04888334
17	21.00990005
18	20.97114962
19	20.91369809
20	20.87877678
21	20.83860921
22	20.80570572
23	20.77267577
24	20.73233311
25	20.68422166
26	20.65064368
27	20.62789612
28	20.6035624
29	20.57535243
30	20.54029139
31	20.51370378
32	20.49219555
33	20.46939643
34	20.42593331
35	20.40424232
36	20.38010961
37	20.35221501
38	20.32700471
39	20.30695404
40	20.2852387
41	20.24788649
42	20.22934514
43	20.20738785
44	20.18137662
45	20.16593381
46	20.13714716
47	20.11791779
48	20.09644865
49	20.08037516
50	20.05775555
51	20.03884167
52	20.02184634
53	19.98903617
54	19.96847767
55	19.95188439
56	19.93818227
57	19.91139126
58	19.89518559
59	19.87753516
60	19.86431979
61	19.85059208
62	19.83627952
63	19.81678949
64	19.8034717
65	19.78836481
66	19.77449045
67	19.75965704
68	19.74371877
69	19.72857313
70	19.71172367
71	19.68517124
72	19.6622539
73	19.6460452
74	19.63311818
75	19.62140132
76	19.60921853
77	19.59077885
78	19.57212462
79	19.55728159
80	19.54698494
81	19.53478573
82	19.51990795
83	19.5056601
84	19.49454372
85	19.48298196
86	19.46381641
87	19.45188813
88	19.44116999
89	19.43237185
90	19.41786099
91	19.40123101
92	19.38932004
93	19.37903545
94	19.36929576
95	19.35835745
96	19.33861195
97	19.33007781
98	19.31506419
99	19.30227202
100	19.28889743
101	19.2786506
102	19.26561174
103	19.2543227
104	19.24365574
105	19.22832081
106	19.21737199
107	19.20110901
108	19.19077365
109	19.17738556
110	19.16254552
111	19.1559748
112	19.1393527
113	19.13157661
114	19.11868412
115	19.1043999
116	19.09541469
117	19.08546736
118	19.07378693
119	19.06458408
120	19.052843
121	19.04443861
122	19.03490613
123	19.02227992
124	19.01378485
125	19.00683928
126	18.99487841
127	18.98163569
128	18.97229897
129	18.95697973
130	18.9410175
131	18.92764507
132	18.91644723
133	18.90525119
134	18.88919142
135	18.87408504
136	18.86274336
137	18.8531196
138	18.84639397
139	18.83933402
140	18.82901353
141	18.81407752
142	18.80828142
143	18.79940538
144	18.78855775
145	18.78181866
146	18.77319755
147	18.76256228
148	18.75690619
149	18.74764403
150	18.74059213
151	18.73212759
152	18.72444947
153	18.71183182
154	18.69950796
155	18.69022095
156	18.68330773
157	18.67196897
158	18.66040978
159	18.65426636
160	18.64364304
161	18.6363467
162	18.63191299
163	18.62323808
164	18.61349711
165	18.6059804
166	18.59770657
167	18.58925946
168	18.58061152
169	18.56872695
170	18.56175602
171	18.5547577
172	18.54833787
173	18.53975244
174	18.53443331
175	18.52376985
176	18.51268553
177	18.50704868
178	18.5009446
179	18.49120418
180	18.48084894
181	18.47525938
182	18.46870403
183	18.46242217
184	18.45597321
185	18.45037426
186	18.4427541
187	18.43469145
188	18.42738714
189	18.41729257
190	18.4058209
191	18.39594119
192	18.39059176
193	18.38492699
194	18.37873519
195	18.37180358
196	18.36345728
197	18.35894771
198	18.35306351
199	18.34471373
