iter	Passed	Remaining
0	71	14198
1	75	7458
2	78	5161
3	82	4057
4	86	3363
5	90	2915
6	94	2613
7	98	2357
8	102	2168
9	106	2015
10	110	1892
11	114	1796
12	118	1700
13	122	1624
14	125	1549
15	129	1489
16	132	1431
17	136	1384
18	141	1344
19	145	1305
20	149	1273
21	152	1235
22	156	1205
23	160	1177
24	164	1151
25	169	1131
26	172	1105
27	176	1085
28	180	1062
29	184	1043
30	188	1029
31	192	1009
32	196	995
33	200	977
34	203	961
35	208	948
36	212	934
37	216	924
38	220	909
39	224	897
40	228	887
41	232	875
42	237	867
43	241	855
44	245	844
45	249	835
46	253	823
47	257	814
48	261	805
49	265	796
50	270	788
51	273	778
52	279	776
53	284	769
54	288	760
55	292	751
56	296	743
57	300	734
58	304	726
59	307	718
60	311	710
61	317	705
62	321	698
63	325	691
64	330	685
65	333	677
66	337	670
67	340	661
68	344	654
69	348	647
70	352	641
71	357	635
72	361	629
73	365	622
74	370	616
75	373	609
76	378	603
77	382	598
78	386	591
79	391	587
80	395	580
81	399	574
82	403	568
83	407	562
84	412	557
85	417	552
86	420	546
87	424	540
88	428	534
89	432	528
90	436	522
91	440	516
92	444	511
93	448	505
94	452	500
95	458	496
96	462	491
97	466	485
98	471	480
99	474	474
100	479	470
101	484	465
102	487	459
103	492	454
104	496	448
105	500	443
106	504	438
107	508	433
108	512	428
109	516	422
110	520	417
111	524	412
112	528	407
113	532	402
114	537	397
115	541	391
116	546	387
117	549	382
118	553	377
119	557	371
120	561	366
121	565	361
122	569	356
123	573	351
124	578	346
125	581	341
126	586	336
127	591	332
128	594	327
129	599	322
130	603	317
131	607	313
132	612	308
133	616	303
134	620	298
135	625	294
136	629	289
137	633	284
138	636	279
139	640	274
140	645	269
141	649	265
142	653	260
143	656	255
144	661	250
145	665	246
146	669	241
147	674	236
148	677	232
149	681	227
150	686	222
151	689	217
152	694	213
153	698	208
154	702	204
155	707	199
156	710	194
157	715	190
158	720	185
159	723	180
160	728	176
161	732	171
162	736	167
163	740	162
164	744	157
165	748	153
166	751	148
167	755	143
168	760	139
169	765	135
170	769	130
171	774	126
172	777	121
173	782	116
174	785	112
175	789	107
176	794	103
177	798	98
178	802	94
179	806	89
180	810	85
181	815	80
182	819	76
183	823	71
184	828	67
185	831	62
186	835	58
187	839	53
188	844	49
189	849	44
190	853	40
191	857	35
192	861	31
193	865	26
194	869	22
195	873	17
196	877	13
197	882	8
198	886	4
199	890	0
